Human	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chimp	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gorilla	0.0134	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orangutan	0.0271	0.0237	0.0257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gibbon	0.0389	0.0354	0.0361	0.0347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhes_cDNA	0.0711	0.0682	0.0704	0.0719	0.0814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Baboon	0.0682	0.0653	0.0675	0.0689	0.0785	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGM_cDNA	0.0689	0.066	0.0668	0.0689	0.0792	0.0155	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tant_cDNA	0.0689	0.066	0.0668	0.0682	0.08	0.0155	0.0127	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Patas	0.0697	0.066	0.0682	0.0682	0.0792	0.023	0.0202	0.0182	0.0182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Colobus	0.0559	0.0531	0.0552	0.0574	0.0668	0.0257	0.0243	0.0237	0.0243	0.0271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DLangur	0.0581	0.0552	0.0574	0.061	0.0689	0.0264	0.025	0.0243	0.025	0.0278	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMarmoset	0.1546	0.1522	0.1571	0.1595	0.1645	0.1779	0.1762	0.1712	0.1712	0.1787	0.1628	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tamarin	0.1554	0.1538	0.1587	0.1595	0.1653	0.1812	0.1796	0.1737	0.1737	0.1812	0.1653	0.1695	0.0354	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Squirrel	0.1745	0.1695	0.1745	0.1745	0.1787	0.1975	0.1941	0.1932	0.1932	0.1993	0.1829	0.1846	0.0763	0.0748	0.0	0.0	0.0	0.0	0.0	0.0
Titi	0.1612	0.1595	0.1628	0.1637	0.1662	0.1821	0.1812	0.1762	0.1779	0.1855	0.167	0.1695	0.0624	0.0624	0.0777	0.0	0.0	0.0	0.0	0.0
Saki	0.1505	0.1497	0.153	0.1554	0.1595	0.1745	0.1728	0.1703	0.1712	0.177	0.1595	0.1637	0.0588	0.0595	0.0763	0.0403	0.0	0.0	0.0	0.0
Howler	0.1712	0.1653	0.1712	0.1703	0.1762	0.1967	0.1958	0.1923	0.1923	0.1949	0.1821	0.1846	0.0844	0.0844	0.0964	0.0777	0.0829	0.0	0.0	0.0
Spider	0.1571	0.1546	0.1571	0.1546	0.1628	0.1753	0.1737	0.1703	0.1695	0.1753	0.1604	0.1645	0.066	0.0668	0.0777	0.0631	0.066	0.0566	0.0	0.0
Woolly	0.1612	0.1604	0.1628	0.1595	0.172	0.1804	0.1787	0.1728	0.172	0.1829	0.167	0.1695	0.0763	0.0741	0.0844	0.0682	0.0719	0.0653	0.0306	0.0
